,file,country
cha,gg_cha.csv,China
chi,gg_che.csv,Chile
col,gg_col.csv,Colombia
fra,gg_fra.csv,France
ice,gg_ice.csv,Iceland
ind,gg_ind.csv,India
jap,gg_jap.csv,Japan
new,gg_new.csv,New Zealand
phi,gg_phi.csv,Philippines
sou,gg_sa.csv,South Africa
uga,gg_uga.csv,Uganda
uk,gg_uk.csv,United Kingdom
us,gg_us.csv,United States
